Winning Percentage,Average PER,Gini Coefficient of PER,Robin Hood Coefficient of PER,S.D. of PER,Gini Coefficient of Salary,Robin Hood Coefficient of Salary,S.D. of Salary
0.536585366,12.91666667,0.1646,0.1189,3.85,0.5203,0.3998,3902114.952
0.463414634,12.07222222,0.2314,0.1602,5.61,0.5606,0.456,3531274.836
0.731707317,14.25,0.1808,0.1279,4.82,0.5029,0.3883,3469592.76
0.585365854,13.13529412,0.188,0.1299,4.63,0.5199,0.4098,5194508.144
0.524390244,10.645,0.2558,0.1793,5.96,0.6175,0.4654,5411800.802
0.5,10.075,0.253,0.1791,10.92,0.6145,0.5045,4851541.746
0.304878049,11.69473684,0.1978,0.1429,4.40,0.5288,0.4156,4185057.304
0.487804878,8.215384615,0.4129,0.2983,9.85,0.4597,0.348,2713021.948
0.585365854,13.81875,0.2046,0.1449,5.35,0.4879,0.3774,4028521.932
0.646341463,14.78666667,0.1983,0.1419,6.18,0.58,0.4284,6116520.994
0.597560976,12.45625,0.2515,0.1764,5.88,0.6265,0.5534,6627743.531
0.536585366,12.60526316,0.2532,0.1889,5.81,0.5563,0.4674,7284067.385
0.463414634,12.37368421,0.2075,0.1516,4.71,0.6308,0.5127,7283928.796
0.256097561,13.80588235,0.1331,0.0931,3.44,0.6322,0.5417,6873272.135
0.243902439,12.51428571,0.1968,0.1363,4.53,0.6396,0.4907,4624443.789
0.256097561,12.19444444,0.1694,0.1178,3.86,0.4277,0.3168,3272548.484
0.524390244,9.110526316,0.2881,0.2079,13.20,0.5249,0.3824,4028420.101
0.402439024,13.28235294,0.1399,0.1034,3.35,0.4092,0.3003,3534665.706
0.585365854,14.25294118,0.1516,0.1074,4.10,0.4553,0.3433,4514057.696
0.43902439,12.42105263,0.2044,0.1406,5.54,0.6149,0.4941,6144675.535
0.548780488,11.52666667,0.2554,0.1927,5.48,0.535,0.4549,5862564.009
0.585365854,8.77,0.3942,0.2986,7.58,0.683,0.5576,5314275.889
0.609756098,12.81428571,0.252,0.189,5.90,0.516,0.4107,5599914.404
0.512195122,13.05,0.193,0.1384,4.63,0.5393,0.4254,6251087.811
0.5,12.04444444,0.2465,0.1758,6.14,0.6034,0.5026,7017125.044
0.292682927,12.17894737,0.2373,0.165,5.34,0.5054,0.3761,3456533.089
0.402439024,10.5952381,0.3041,0.2254,7.56,0.5196,0.3892,3761349.822
0.646341463,11.82,0.2871,0.2129,6.22,0.5714,0.436,5794810.559
0.695121951,13.06111111,0.2146,0.1471,5.43,0.5488,0.4371,7642610.085
0.62195122,10.97619048,0.2693,0.1939,12.06,0.6393,0.518,9105825.377
0.5,10.79130435,0.2768,0.2031,8.67,0.621,0.4727,4772373.82
0.597560976,14.42666667,0.1872,0.1307,5.06,0.5429,0.4124,5632868.565
0.609756098,13.53684211,0.1905,0.1294,9.64,0.5466,0.4584,5100075.266
0.512195122,14.925,0.1442,0.1043,4.03,0.5336,0.4023,4769906.261
